,Edad,Género,Ingresos,Altura,Ciudad,Nivel_Educación,Hijos
0,82,F,62297,1.96,Phoenix,None,0
1,15,F,38674,1.83,New York,PhD,4
2,166,,-1886,1.87,,Bachelors,-5
3,95,M,29759,1.77,Chicago,PhD,4
4,36,M,99938,1.78,Phoenix,PhD,5
5,-2,,-1172,1.64,,mastre,-5
6,29,F,75609,1.59,Chicago,Master,4
7,-8,,195472,1.96,,Bachelors,-4
8,-5,,-1788,1.98,,Bachelors,-1
9,193,,188965,1.52,,Bachelors,-4
10,-8,,161634,1.59,,mastre,-5
11,95,M,96068,1.71,Houston,None,5
12,70,M,94801,1.75,Houston,Master,4
13,12,F,28046,1.91,Los Angeles,None,5
14,188,,158404,1.65,,Bachelors,-4
15,55,M,80718,1.67,New York,Master,5
16,5,F,50315,1.91,Chicago,PhD,4
17,4,F,22593,1.95,Houston,Bachelor,0
18,12,F,34145,1.8,Los Angeles,None,1
19,28,M,22695,1.79,Los Angeles,Master,5
20,30,F,83671,1.95,New York,Master,0
21,-1,,171768,1.74,,mastre,-3
22,78,F,29311,1.81,Houston,Master,2
23,4,F,92847,1.57,Los Angeles,Bachelor,3
24,72,F,88317,1.9,Phoenix,None,5
25,26,F,73978,1.54,New York,Bachelor,1
26,92,M,24141,1.76,New York,Master,0
27,84,F,28276,1.88,Chicago,Bachelor,5
28,90,M,75738,1.95,Chicago,None,0
29,70,F,20669,1.95,Houston,Bachelor,5
30,54,F,21123,1.95,Houston,Master,3
31,29,M,52039,1.79,Phoenix,Master,5
32,58,F,53514,1.72,Chicago,None,0
33,76,F,66416,1.71,Los Angeles,PhD,4
34,36,F,74937,1.57,Phoenix,Master,4
35,1,F,26377,1.83,New York,PhD,1
36,98,M,69873,1.51,New York,None,2
37,21,M,36936,1.53,New York,Bachelor,3
38,90,M,91992,1.79,Houston,Bachelor,4
39,55,F,89101,1.55,Los Angeles,Bachelor,1
40,199,,-1388,1.85,,pHd,-2
41,36,F,74461,1.84,Houston,Bachelor,1
42,20,F,70142,1.64,Houston,PhD,4
43,28,F,72634,1.88,New York,Master,4
44,98,F,57902,1.55,Phoenix,Master,4
45,44,F,64286,1.64,New York,Master,5
46,14,M,38642,1.6,Chicago,None,4
47,-9,,-1058,1.69,,pHd,-3
48,49,M,80258,1.57,Phoenix,None,1
49,13,M,36831,1.83,Houston,PhD,5
50,46,M,66237,1.85,Los Angeles,PhD,0
51,45,M,45428,1.82,Chicago,PhD,3
52,151,,155507,1.62,,pHd,-1
53,34,M,26314,1.77,Houston,PhD,2
54,6,M,20049,1.55,Phoenix,None,3
55,94,M,20726,1.98,Phoenix,Bachelor,4
56,59,M,92046,1.9,New York,PhD,1
57,69,F,66963,1.95,Los Angeles,None,3
58,16,M,53119,1.8,Houston,Bachelor,5
59,49,F,97530,1.6,New York,Master,5
60,11,F,86420,1.54,Houston,None,0
61,71,M,92119,1.82,New York,None,5
62,38,F,90564,1.63,Phoenix,PhD,1
63,81,M,34472,1.7,New York,PhD,4
64,80,F,24521,1.9,Chicago,None,5
65,191,,181030,1.81,,mastre,-1
66,74,M,66724,1.63,Chicago,None,5
67,162,,172465,1.78,,mastre,-2
68,91,M,94012,1.78,Phoenix,Master,3
69,-5,,-1112,1.87,,no education,-5
70,191,,157361,1.94,,Bachelors,-3
71,85,M,39830,1.7,Houston,None,1
72,30,M,43410,1.8,Chicago,Bachelor,3
73,99,F,54303,1.6,Phoenix,PhD,2
74,38,F,50497,1.6,Phoenix,None,5
75,11,M,32872,1.73,Houston,Master,2
76,30,M,87387,1.77,Chicago,None,0
77,13,M,82283,1.51,Phoenix,Bachelor,0
78,49,M,32858,1.58,Phoenix,None,3
79,150,,170167,1.63,,mastre,-3
80,59,F,85529,1.69,Los Angeles,Master,0
81,82,F,25212,1.94,Chicago,Master,2
82,47,M,32986,1.77,Houston,Master,3
83,21,M,57136,1.69,Houston,PhD,1
84,48,F,37757,1.51,New York,PhD,1
85,46,F,91495,1.77,New York,Bachelor,3
86,27,F,20173,1.81,Houston,PhD,3
87,86,M,56236,1.58,Houston,None,1
88,35,F,78835,1.72,Chicago,Master,2
89,90,M,66525,1.56,Houston,Master,1
90,88,M,98608,1.89,New York,Bachelor,5
91,83,M,49139,1.98,Chicago,Master,1
92,10,F,55317,1.65,Chicago,None,0
93,78,F,97162,1.52,Chicago,None,0
94,82,F,45820,1.59,Chicago,Bachelor,1
95,22,F,47964,1.91,Chicago,Bachelor,0
96,69,M,50874,1.86,Chicago,None,2
97,94,F,30789,1.8,Los Angeles,Bachelor,5
98,32,M,26698,1.8,New York,PhD,4
99,21,M,57602,1.96,Houston,None,5
100,60,F,24980,1.79,New York,Bachelor,1
101,49,M,80132,1.91,Los Angeles,Bachelor,1
102,35,M,66628,1.85,Houston,None,5
103,82,M,84355,1.83,Los Angeles,Master,2
104,89,M,64096,1.87,Chicago,None,2
105,190,,-1481,1.61,,pHd,-4
106,29,F,83106,1.64,Los Angeles,Bachelor,3
